# mx [GeV]: 10000.0
# sigma_p [cm^2]: 1.58489319246e-29
# depth [m]: 10.6
<<<<<<< Updated upstream
# loc: SUF
=======
# target: full
>>>>>>> Stashed changes
# Columns: gamma/pi, v [km/s], f(v, gamma) [s/km]
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.666666666666666644e-02 0.000000000000000000e+00
0.000000000000000000e+00 3.333333333333333287e-02 0.000000000000000000e+00
0.000000000000000000e+00 5.000000000000000278e-02 0.000000000000000000e+00
0.000000000000000000e+00 6.666666666666666574e-02 0.000000000000000000e+00
0.000000000000000000e+00 8.333333333333332871e-02 0.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.166666666666666685e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.333333333333333315e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.499999999999999944e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.666666666666666574e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.833333333333333204e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000111e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.166666666666666741e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.333333333333333370e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.666666666666666630e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.833333333333333259e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.999999999999999889e-01 0.000000000000000000e+00
0.000000000000000000e+00 3.166666666666666519e-01 0.000000000000000000e+00
0.000000000000000000e+00 3.333333333333333148e-01 0.000000000000000000e+00
0.000000000000000000e+00 3.499999999999999778e-01 0.000000000000000000e+00
0.000000000000000000e+00 3.666666666666666408e-01 0.000000000000000000e+00
0.000000000000000000e+00 3.833333333333333037e-01 0.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000222e-01 0.000000000000000000e+00
0.000000000000000000e+00 4.166666666666666852e-01 0.000000000000000000e+00
0.000000000000000000e+00 4.333333333333333481e-01 0.000000000000000000e+00
0.000000000000000000e+00 4.500000000000000111e-01 0.000000000000000000e+00
0.000000000000000000e+00 4.666666666666666741e-01 0.000000000000000000e+00
0.000000000000000000e+00 4.833333333333333370e-01 0.000000000000000000e+00
0.000000000000000000e+00 5.000000000000000000e-01 0.000000000000000000e+00
0.000000000000000000e+00 5.166666666666666075e-01 0.000000000000000000e+00
0.000000000000000000e+00 5.333333333333333259e-01 0.000000000000000000e+00
0.000000000000000000e+00 5.500000000000000444e-01 0.000000000000000000e+00
0.000000000000000000e+00 5.666666666666666519e-01 0.000000000000000000e+00
0.000000000000000000e+00 5.833333333333333703e-01 0.000000000000000000e+00
0.000000000000000000e+00 5.999999999999999778e-01 0.000000000000000000e+00
0.000000000000000000e+00 6.166666666666666963e-01 0.000000000000000000e+00
0.000000000000000000e+00 6.333333333333333037e-01 0.000000000000000000e+00
0.000000000000000000e+00 6.500000000000000222e-01 0.000000000000000000e+00
0.000000000000000000e+00 6.666666666666666297e-01 0.000000000000000000e+00
0.000000000000000000e+00 6.833333333333333481e-01 0.000000000000000000e+00
0.000000000000000000e+00 6.999999999999999556e-01 0.000000000000000000e+00
0.000000000000000000e+00 7.166666666666666741e-01 0.000000000000000000e+00
0.000000000000000000e+00 7.333333333333332815e-01 0.000000000000000000e+00
0.000000000000000000e+00 7.500000000000000000e-01 0.000000000000000000e+00
0.000000000000000000e+00 7.666666666666666075e-01 0.000000000000000000e+00
0.000000000000000000e+00 7.833333333333333259e-01 0.000000000000000000e+00
0.000000000000000000e+00 8.000000000000000444e-01 0.000000000000000000e+00
0.000000000000000000e+00 8.166666666666666519e-01 0.000000000000000000e+00
0.000000000000000000e+00 8.333333333333333703e-01 0.000000000000000000e+00
0.000000000000000000e+00 8.499999999999999778e-01 0.000000000000000000e+00
0.000000000000000000e+00 8.666666666666666963e-01 0.000000000000000000e+00
0.000000000000000000e+00 8.833333333333333037e-01 0.000000000000000000e+00
